PLAN_CONVENIO,Compañia final,Canal
NOMINA HABIENTES HSBC 2024,PLANES BANCARIOS,ASISTENCIADORAS
TQS ASEGURADOS LIMPIEZA 2023,TQS,ASISTENCIADORAS
INTEGRA SALUD,INTEGRA SALUD,ASISTENCIADORAS
MAS SERVICIOS ASEGURADOS LIMPIEZA 2023,MAS SERVICIOS,ASISTENCIADORAS
DSP EMPLEADOS ESPACIAL 2024,IKE AMAZON,ASISTENCIADORAS
MAS SERVICIOS UNICO 2025,MAS SERVICIOS,ASISTENCIADORAS
VIVA WELL CLIENTES VIP AMPLIO,VIVA WELL,ASISTENCIADORAS
VIVA WELL CLIENTES AMPLIO,VIVA WELL,ASISTENCIADORAS
INTEGRA SALUD SAFRAN NACIONAL,INTEGRA SALUD,ASISTENCIADORAS
MEDDI PLAN LIMPIEZA,MEDDI,ASISTENCIADORAS
VIVA WELL PLAN LIMPIEZA BTOBTOC,VIVA WELL,ASISTENCIADORAS
INTEGRA SALUD CLIENTES MEXICALI,INTEGRA SALUD,ASISTENCIADORAS
INTEGRALIS CLIENTES PREVENTIVO 2024,INTEGRALIS,ASISTENCIADORAS
INTEGRA SALUD BOOSTER,INTEGRA SALUD,ASISTENCIADORAS
INTEGRA SALUD PAQUETE 4,INTEGRA SALUD,ASISTENCIADORAS
INTEGRA SALUD CLIENTES AFILIACION,INTEGRA SALUD,ASISTENCIADORAS
NOMINA HABIENTES HSBC UNICO 2024,PLANES BANCARIOS,ASISTENCIADORAS
MI DOC ONLINE LIMPIEZA 2024,MI DOC ONLINE,ASISTENCIADORAS
VIVA WELL CLIENTES LIMPIEZA,VIVA WELL,ASISTENCIADORAS
DSP GRUPO MOK 2025-2026,DSP GRUPO MOK,ASISTENCIADORAS
INTEGRA SALUD EMBAJADA DE CANADA 2024,INTEGRA SALUD,ASISTENCIADORAS
TQUIDO SONRISA INDIVIDUAL,TQS,ASISTENCIADORAS
INTEGRALIS CLIENTES PREVENTIVO 2025-2026,INTEGRALIS,ASISTENCIADORAS
ASSIST 2025,ASSIST,ASISTENCIADORAS
PLANES BANCARIOS 2025,PLANES BANCARIOS,ASISTENCIADORAS
MAS SERVICIOS ASEGURADOS SEGUNDA LIMPIEZA,MAS SERVICIOS,ASISTENCIADORAS
VIVA WELL AMPLIO PLUS,VIVA WELL,ASISTENCIADORAS
IGS 2025,IGS,ASISTENCIADORAS
INTEGRA SALUD EMBAJADA DE CANADA 2025,INTEGRA SALUD,ASISTENCIADORAS
INTEGRA SALUD GSK 2025-2026,INTEGRA SALUD,ASISTENCIADORAS
INFOASIST 2025,INFOASIST,ASISTENCIADORAS
STARLIGHT LIMPIEZA EMPLEADOS OPCIONAL ESPECIAL 2025,STARLIGHT,ASISTENCIADORAS
SOS 2025,SOS,ASISTENCIADORAS
ARSA 2025,ARSA,ASISTENCIADORAS
ASTRAZENECA EMPLEADOS AFILIACION 2025,ASTRAZENECA,EMPRESARIAL
BBVA PORTAL EMPLEADOS SEGURIDAD 1,PORTAL BBVA,EMPRESARIAL
INVEX EMPLEADOS RECONOCIMIENTO 2024,INVEX,EMPRESARIAL
SABIC EMPLEADOS SEGURIDAD 2024,SABIC,EMPRESARIAL
ICONN EMPLEADOS PREVENTIVO 2024,ICONN,EMPRESARIAL
ITESM EMPLEADOS AFILIACION 2024,ITESM,EMPRESARIAL
BBVA PORTAL EMPLEADOS AFILIACIÓN 1,PORTAL BBVA,EMPRESARIAL
HERSHEYS & HERSMEX EMPLEADOS AUTORREALIZACION 2022,HERSHEYS,EMPRESARIAL
SIKA MEXICANA EMPLEADOS ELEMENTAL 2024,SIKA MEXICANA,EMPRESARIAL
VECTOR CASA DE BOLSA AFILIACION 2024,VECTOR,EMPRESARIAL
FORD EMPLEADOS AUTORREALIZACION 2025-2026,FORD,EMPRESARIAL
HSBC SERVICIO DENTAL,HSBC,EMPRESARIAL
GRUPO SALINAS PLAN LIMPIEZA 2025,GRUPO SALINAS,EMPRESARIAL
BOCAR EMPLEADOS SEGURIDAD 2023,GRUPO BOCAR,EMPRESARIAL
AMAZON COLABORADORES SEGMENTO A,AMAZON SEG A,EMPRESARIAL
MERCEDES BENZ EMPLEADOS AFILIACION 2024,MERCEDES BENZ,EMPRESARIAL
COMMSCOPE/ARRIS EMPLEADOS AFILIACION 2024,COMMSCOPE,EMPRESARIAL
CLUB CAMPESTRE DE MONTERREY EMPLEADOS AFILIACION 2024,CLUB CAMPESTRE,EMPRESARIAL
TIFFANY EMPLEADOS AFILIACION 2024,TIFFANY & CO MEXICO,EMPRESARIAL
EQUIPO M165 EMPLEADOS ELEMENTAL 2024,EQUIPO M165,EMPRESARIAL
BBVA PORTAL EMPLEADOS AMPLIO FAMILIAR 1,PORTAL BBVA,EMPRESARIAL
MANPOWER CORPORATIVO EMPLEADOS AFILIACION 2024,MANPOWER,EMPRESARIAL
TEC PLAN FAMILIAR 2024,ITESM,EMPRESARIAL
KRISPY KREME EMPLEADOS AFILIACION 2023,KRISPY KREME,EMPRESARIAL
ITESM FAMILIARES AFILIACION 2025-2026,ITESM,EMPRESARIAL
HERSHEYS & HERSMEX EMPLEADOS SEGURIDAD 2024,HERSHEYS,EMPRESARIAL
NARMX EMPLEADOS SEGURIDAD 2024,NARMX,EMPRESARIAL
HSBC SERVICIO MEDICO EDPM,HSBC,EMPRESARIAL
AT&T EMPLEADOS SEGURIDAD 2024,AT&T,EMPRESARIAL
GRUPO MODELO EMPLEADOS RECONOCIMIENTO 2023,GRUPO MODELO,EMPRESARIAL
VOLARIS EMPLEADOS AUTORREALIZACION 2024,VOLARIS,EMPRESARIAL
CARESTREAM DENTAL EMPLEADOS AUTORREALIZACION 2024,CARESTREAM,EMPRESARIAL
AT&T EMPLEADOS AUTORREALIZACION 2024,AT&T,EMPRESARIAL
HYUNDAI MOBIS EMPLEADOS AFILIACION 2024,HYUNDAI MOBIS,EMPRESARIAL
CISCO EMPLEADOS AFILIACION 2024,CISCO,EMPRESARIAL
KPMG EMPLEADOS AUTORREALIZACION 2024,KPMG,EMPRESARIAL
AMAZON DEPENDIENTES SEGMENTO B,AMAZON SEG B,EMPRESARIAL
ITESM FAMILIARES AFILIACION 2024,ITESM,EMPRESARIAL
DELOITTE GALAZ EMPLEADOS AUTORREALIZACION 2024,DELOITTE,EMPRESARIAL
SUNGWOO EMPLEADOS AFILIACION 2024,SUNGWOO,EMPRESARIAL
AFORE SURA EMPLEADOS SEGURIDAD 2024,AFORE SURA,EMPRESARIAL
MEGACABLE EMPLEADOS SEGURIDAD 2024,MEGACABLE,EMPRESARIAL
PROVEEDORA DE INTELIGENCIA GENESIS EMPLEADOS SEGURIDAD 2024,PROVEEDORA DE INTELIGENCIA GENESIS,EMPRESARIAL
MERITOR EMPLEADOS AFILIACION 2024,MERITOR,EMPRESARIAL
CATERPILLAR EMPLEADOS AFILIACION 2024,CATERPILLAR,EMPRESARIAL
DAIKIN MEXICO EMPLEADOS ELEMENTAL 2024,DAIKIN,EMPRESARIAL
GENERAL ELECTRIC EMPLEADOS AFILIACION 2024,GENERAL ELECTRIC,EMPRESARIAL
